,Symbol,Var,Qual
924,TXRH,,
925,FCAP,,
926,DIOD,,
927,ENSG,,
928,PEGA,,
929,FITB,,
930,FTNT,,
931,LZB,,
932,HVT,,
933,SMMF,,
934,NRP,,
935,CHMG,,
936,ABCB,,
937,MAYS,,
938,MMSI,,
939,PFSI,,
940,R,,
941,ATRC,,
942,CRAI,,
943,RELL,,
944,KVHI,,
945,FHN,,
946,HCI,,
947,LAMR,,
948,AKR,,
949,UBA,,
950,COF,,
951,LMAT,,
952,MANH,,
953,CRUS,,
954,NOW,,
955,STLD,,
956,VRTS,,
957,CMC,,
958,B,,
959,HOFT,,
960,CF,,
961,KRO,,
962,AMED,,
963,BHB,,
964,BCO,,
965,NEWT,,
966,ADUS,,
967,CSV,,
968,RUSHB,,
969,UBP,,
970,CTG,,
971,CMCO,,
972,ULTA,,
973,PLPC,,
974,RLJE,,
975,NLSN,,
976,TRNS,,
977,BC,,
978,HSII,,
979,ARR,,
980,CVCY,,
981,CGNX,,
982,NX,,
983,RL,,
984,HAE,,
985,SGA,,
986,OVLY,,
987,WTFC,,
988,FC,,
989,OFG,,
990,MCHP,,
991,LEN,,
992,WEN,,
993,CMP,,
994,EZPW,,
995,SSTK,,
996,IRWD,,
997,MRCY,,
998,LMNR,,
999,NWPX,,
1000,BRT,,
1001,NVEC,,
1002,WLK,,
1003,PODD,,
1004,FBP,,
1005,CMA,,
1006,CIM,,
1007,CBRL,,
1008,MYRG,,
1009,MODN,,
1010,GE,,
1011,HASI,,
1012,PEBK,,
1013,COP,,
1014,FEIM,,
1015,PRFT,,
1016,ENTG,,
1017,GLBZ,,
1018,ABAX,,
1019,SVT,,
1020,SRDX,,
1021,NTGR,,
1022,WOR,,
1023,ACU,,
1024,UNB,,
1025,HCSG,,
1026,NICK,,
1027,VTR,,
1028,HXL,,
1029,NXST,,
1030,HZNP,,
1031,HWBK,,
1032,WEYS,,
1033,XRX,,
1034,BKU,,
1035,BOX,,
1036,SHOO,,
1037,PII,,
1038,GPOR,,
1039,FARO,,
1040,CACC,,
1041,GLF,,
1042,AUBN,,
1043,HAFC,,
1044,TER,,
1045,UFCS,,
1046,HAYN,,
1047,BGS,,
1048,SLG,,
1049,DRI,,
1050,HHC,,
1051,WBS,,
1052,SENEA,,
1053,NOBH,,
1054,SCSC,,
1055,RGEN,,
1056,LAD,,
1057,GIFI,,
1058,WD,,
1059,SLAB,,
1060,ASTE,,
1061,MAT,,
1062,MTZ,,
1063,ACCO,,
1064,IRDM,,
1065,ALKS,,
1066,CBL,,
1067,VIA,,
1068,COWN,,
1069,AMSWA,,
1070,ACNB,,
1071,PRIM,,
1072,OFLX,,
1073,SFE,,
1074,OXM,,
1075,BANC,,
1076,CPHC,,
1077,LVS,,
1078,ABR,,
1079,LPX,,
1080,LPNT,,
1081,URI,,
1082,SAM,,
1083,ACTG,,
1084,GNE,,
1085,MYE,,
1086,LYV,,
1087,MGPI,,
1088,AMAT,,
1089,UBOH,,
1090,SHEN,,
1091,ANGO,,
1092,MPB,,
1093,IVZ,,
1094,EBTC,,
1095,GHM,,
1096,WAL,,
1097,ABG,,
1098,POWL,,
1099,PFIN,,
1100,BCC,,
1101,DGII,,
1102,DFS,,
1103,GNRC,,
1104,AGNCP,,
1105,DGICB,,
1106,FSLR,,
1107,DLX,,
1108,ALB,,
1109,EXEL,,
1110,MRVL,,
1111,SCS,,
1112,CSII,,
1113,PGTI,,
1114,MPWR,,
1115,EDR,,
1116,GBL,,
1117,UBFO,,
1118,AWRE,,
1119,BGCP,,
1120,FIZZ,,
1121,RATE,,
1122,MTG,,
1123,SRI,,
1124,MITK,,
1125,PDFS,,
1126,UNM,,
1127,ERII,,
1128,NFLX,,
1129,SKX,,
1130,PACW,,
1131,MDC,,
1132,IPGP,,
1133,TG,,
1134,MPC,,
1135,NE,,
1136,ALK,,
1137,FLEX,,
1138,NTIC,,
1139,LRCX,,
1140,AGYS,,
1141,SMTC,,
1142,SUPN,,
1143,FSP,,
1144,HLIT,,
1145,SLP,,
1146,PXD,,
1147,TTGT,,
1148,WSM,,
1149,RPT,,
1150,DAL,,
1151,SPG,,
1152,VLO,,
1153,ANDE,,
1154,HSKA,,
1155,FRBK,,
1156,RLGT,,
1157,STRL,,
1158,MCRI,,
1159,AAWW,,
1160,HBI,,
1161,AEIS,,
1162,SEM,,
1163,HY,,
1164,NATR,,
1165,AE,,
1166,PLAB,,
1167,CASH,,
1168,GB,,
1169,DXCM,,
1170,TCBI,,
1171,SNV,,
1172,FIVE,,
1173,APOG,,
1174,BCOR,,
1175,NSSC,,
1176,WCC,,
1177,ALOT,,
1178,BCOV,,
1179,NSP,,
1180,TEX,,
1181,MKSI,,
1182,JBT,,
1183,MHK,,
1184,JACK,,
1185,OVBC,,
1186,GBX,,
1187,ACHC,,
1188,DKS,,
1189,IIIN,,
1190,ABCD,,
1191,WWW,,
1192,TDC,,
1193,HOG,,
1194,ADTN,,
1195,MLNK,,
1196,TOL,,
1197,MTH,,
1198,SLB,,
1199,ECOL,,
1200,AMOT,,
1201,SPB,,
1202,RMCF,,
1203,BDL,,
1204,NFX,,
1205,PCTI,,
1206,TPH,,
1207,SIVB,,
1208,ABMD,,
1209,INTG,,
1210,DCO,,
1211,BECN,,
1212,TREX,,
1213,REIS,,
1214,VSEC,,
1215,ENTA,,
1216,CATO,,
1217,SCHN,,
1218,VC,,
1219,MPAA,,
1220,ITRI,,
1221,UEIC,,
1222,CVCO,,
1223,LRN,,
1224,NSR,,
1225,DISH,,
1226,ROG,,
1227,VAL,,
1228,HSON,,
1229,FUN,,
1230,ULBI,,
1231,PEB,,
1232,TPL,,
1233,KTOS,,
1234,BV,,
1235,HES,,
1236,EPAM,,
1237,HCCI,,
1238,VIVO,,
1239,FSTR,,
1240,WETF,,
1241,FF,,
1242,USAP,,
1243,LSCC,,
1244,XPO,,
1245,CIX,,
1246,NVDA,,
1247,GVA,,
1248,OCLR,,
1249,SPLK,,
1250,VSAT,,
1251,ALNY,,
1252,BKE,,
1253,CEVA,,
1254,INFU,,
1255,IVAC,,
1256,GSIT,,
1257,VAC,,
1258,WDC,,
1259,AVAV,,
1260,AXR,,
1261,CECO,,
1262,MD,,
1263,CECE,,
1264,INT,,
1265,APEI,,
1266,BA,,
1267,RM,,
1268,ALGT,,
1269,CXW,,
1270,TLF,,
1271,FL,,
1272,VNDA,,
1273,MOS,,
1274,BIIB,,
1275,LGL,,
1276,NGS,,
1277,UNTY,,
1278,THO,,
1279,JCTCF,,
1280,WSCI,,
1281,FORM,,
1282,FRD,,
1283,CUBI,,
1284,BLDR,,
1285,GFF,,
1286,SPTN,,
1287,RCII,,
1288,PRLB,,
1289,III,,
1290,ZUMZ,,
1291,DRQ,,
1292,CYBE,,
1293,SYNA,,
1294,LFVN,,
1295,BH,,
1296,SBGI,,
1297,COHR,,
1298,GPI,,
1299,GLT,,
1300,URBN,,
1301,FLXS,,
1302,NSFC,,
1303,NC,,
1304,GTN,,
1305,UTI,,
