,Date,Ticker,Operation,Open price,Z-Score,Commissions,Shares,Close price,P/L
109,2019-05-20,NASDAQ:MEDP,Sell,55.73,-2.8,1.335,267,0.0,0.0
110,2019-05-31,NASDAQ:LSCC,Close,11.46,0.378,6.495,1299,12.79,1740.66
111,2019-05-31,NASDAQ:MEDP,Close,55.73,0.378,1.335,267,53.98,467.25
112,2019-06-11,NASDAQ:LSCC,Sell,15.0,2.081,5.69,1138,0.0,0.0
113,2019-06-11,NASDAQ:MEDP,Buy,55.46,2.081,1.54,308,0.0,0.0
114,2019-06-21,NASDAQ:LSCC,Close,15.0,-0.702,5.69,1138,14.4,694.18
115,2019-06-21,NASDAQ:MEDP,Close,55.46,-0.702,1.54,308,62.55,2186.8
116,2019-07-11,NASDAQ:LSCC,Sell,16.25,2.108,6.135,1227,0.0,0.0
117,2019-07-11,NASDAQ:MEDP,Buy,62.57,2.108,1.59,318,0.0,0.0
118,2019-07-29,NASDAQ:LSCC,Close,16.25,-0.676,6.135,1227,16.38,-171.78
119,2019-07-29,NASDAQ:MEDP,Close,62.57,-0.676,1.59,318,67.68,1624.98
120,2019-07-30,NASDAQ:LSCC,Buy,16.41,-3.406,6.51,1302,0.0,0.0
121,2019-07-30,NASDAQ:MEDP,Sell,79.61,-3.406,1.34,268,0.0,0.0
122,2019-08-20,NASDAQ:LSCC,Timeout,16.41,-0.585,6.51,1302,19.11,3502.38
123,2019-08-20,NASDAQ:MEDP,Timeout,79.61,-0.585,1.34,268,80.59,-265.32
124,2019-09-03,NASDAQ:LSCC,Buy,18.54,-2.711,6.63,1326,0.0,0.0
125,2019-09-03,NASDAQ:MEDP,Sell,80.45,-2.711,1.525,305,0.0,0.0
126,2019-09-06,NASDAQ:LSCC,Close,18.54,0.208,6.63,1326,19.98,1896.18
127,2019-09-06,NASDAQ:MEDP,Close,80.45,0.208,1.525,305,82.99,-777.75
128,2019-09-09,NASDAQ:LSCC,Sell,20.85,3.957,6.165,1233,0.0,0.0
129,2019-09-09,NASDAQ:MEDP,Buy,81.11,3.957,1.58,316,0.0,0.0
130,2019-09-10,NASDAQ:LSCC,Close,20.85,-0.404,6.165,1233,19.18,2046.78
131,2019-09-10,NASDAQ:MEDP,Close,81.11,-0.404,1.58,316,80.48,-199.08
132,2019-09-12,NASDAQ:LSCC,Sell,21.01,2.594,6.555,1311,0.0,0.0
133,2019-09-12,NASDAQ:MEDP,Buy,81.92,2.594,1.68,336,0.0,0.0
134,2019-09-18,NASDAQ:LSCC,Close,21.01,-0.462,6.555,1311,20.34,865.26
135,2019-09-18,NASDAQ:MEDP,Close,81.92,-0.462,1.68,336,84.73,940.8
136,2019-09-24,NASDAQ:LSCC,Buy,19.15,-2.098,7.655,1531,0.0,0.0
137,2019-09-24,NASDAQ:MEDP,Sell,84.64,-2.098,1.73,346,0.0,0.0
138,2019-10-03,NASDAQ:LSCC,Close,19.15,0.14,7.655,1531,18.7,-704.26
139,2019-10-03,NASDAQ:MEDP,Close,84.64,0.14,1.73,346,78.66,2069.08
140,2019-10-30,NASDAQ:LSCC,Sell,19.7,3.336,7.785,1557,0.0,0.0
141,2019-10-30,NASDAQ:MEDP,Buy,74.94,3.336,2.045,409,0.0,0.0
142,2019-11-19,NASDAQ:LSCC,Close,19.7,-0.207,7.785,1557,18.95,1152.18
143,2019-11-19,NASDAQ:MEDP,Close,74.94,-0.207,2.045,409,72.48,-1006.14
144,2019-12-23,NASDAQ:LSCC,Buy,19.54,-2.266,7.88,1576,0.0,0.0
145,2019-12-23,NASDAQ:MEDP,Sell,84.39,-2.266,1.825,365,0.0,0.0
146,2020-01-07,NASDAQ:LSCC,Close,19.54,0.654,7.88,1576,20.1,882.56
147,2020-01-07,NASDAQ:MEDP,Close,84.39,0.654,1.825,365,83.13,456.25
148,2020-01-08,NASDAQ:LSCC,Sell,21.21,2.316,7.57,1514,0.0,0.0
149,2020-01-08,NASDAQ:MEDP,Buy,83.63,2.316,1.92,384,0.0,0.0
150,2020-01-15,NASDAQ:LSCC,Close,21.21,-0.887,7.57,1514,20.65,840.27
151,2020-01-15,NASDAQ:MEDP,Close,83.63,-0.887,1.92,384,89.12,2108.16
152,2020-01-31,NASDAQ:LSCC,Buy,18.61,-2.725,9.42,1884,0.0,0.0
153,2020-01-31,NASDAQ:MEDP,Sell,85.55,-2.725,2.045,409,0.0,0.0
154,2020-02-21,NASDAQ:LSCC,Timeout,18.61,-1.52,9.42,1884,19.03,791.28
155,2020-02-21,NASDAQ:MEDP,Timeout,85.55,-1.52,2.045,409,99.58,-5742.36
156,2020-02-25,NASDAQ:LSCC,Buy,17.81,-2.46,8.44,1688,0.0,0.0
157,2020-02-25,NASDAQ:MEDP,Sell,101.95,-2.46,1.475,295,0.0,0.0
158,2020-03-11,NASDAQ:LSCC,Close,17.81,0.073,8.44,1688,16.46,-2295.68
159,2020-03-11,NASDAQ:MEDP,Close,101.95,0.073,1.475,295,83.64,5398.5
160,2020-03-12,NASDAQ:LSCC,Sell,15.61,2.014,10.62,2124,0.0,0.0
161,2020-03-12,NASDAQ:MEDP,Buy,72.27,2.014,2.29,458,0.0,0.0
162,2020-04-02,NASDAQ:LSCC,Timeout,15.61,0.696,10.62,2124,16.86,-2644.38
163,2020-04-02,NASDAQ:MEDP,Timeout,72.27,0.696,2.29,458,71.92,-160.3
164,2020-04-29,NASDAQ:LSCC,Sell,22.3,4.134,6.795,1359,0.0,0.0
165,2020-04-29,NASDAQ:MEDP,Buy,84.33,4.134,1.795,359,0.0,0.0
166,2020-05-20,NASDAQ:LSCC,Timeout,22.3,0.301,6.795,1359,24.47,-2949.03
167,2020-05-20,NASDAQ:MEDP,Timeout,84.33,0.301,1.795,359,90.08,2060.66
168,2020-06-04,NASDAQ:LSCC,Sell,27.09,2.618,5.43,1086,0.0,0.0
169,2020-06-04,NASDAQ:MEDP,Buy,90.02,2.618,1.63,326,0.0,0.0
170,2020-06-25,NASDAQ:LSCC,Timeout,27.09,0.768,5.43,1086,27.88,-857.94
171,2020-06-25,NASDAQ:MEDP,Timeout,90.02,0.768,1.63,326,88.77,-410.76
172,2020-07-15,NASDAQ:LSCC,Buy,29.7,-6.464,4.735,947,0.0,0.0
173,2020-07-15,NASDAQ:MEDP,Sell,105.06,-6.464,1.335,267,0.0,0.0
174,2020-08-05,NASDAQ:LSCC,Timeout,29.7,-1.436,4.735,947,31.3,1524.67
175,2020-08-05,NASDAQ:MEDP,Timeout,105.06,-1.436,1.335,267,125.8,-5540.25
176,2020-08-31,NASDAQ:LSCC,Buy,28.61,-2.375,4.215,843,0.0,0.0
177,2020-08-31,NASDAQ:MEDP,Sell,129.78,-2.375,1.0,185,0.0,0.0
178,2020-09-02,NASDAQ:LSCC,Close,28.61,0.212,4.215,843,30.96,1989.48
179,2020-09-02,NASDAQ:MEDP,Close,129.78,0.212,1.0,185,130.62,-153.55
180,2020-09-14,NASDAQ:LSCC,Sell,28.71,2.148,4.515,903,0.0,0.0
181,2020-09-14,NASDAQ:MEDP,Buy,118.78,2.148,1.09,218,0.0,0.0
182,2020-09-23,NASDAQ:LSCC,Close,28.71,-0.407,4.515,903,26.48,2018.2
183,2020-09-23,NASDAQ:MEDP,Close,118.78,-0.407,1.09,218,113.01,-1258.95
184,2020-09-24,NASDAQ:LSCC,Sell,27.64,2.742,4.825,965,0.0,0.0
185,2020-09-24,NASDAQ:MEDP,Buy,106.94,2.742,1.245,249,0.0,0.0
186,2020-10-02,NASDAQ:LSCC,Close,27.64,-0.031,4.825,965,28.22,-554.87
187,2020-10-02,NASDAQ:MEDP,Close,106.94,-0.031,1.245,249,115.02,2009.43
188,2020-10-12,NASDAQ:LSCC,Sell,33.77,2.021,4.16,832,0.0,0.0
189,2020-10-12,NASDAQ:MEDP,Buy,125.19,2.021,1.12,224,0.0,0.0
190,2020-11-02,NASDAQ:LSCC,Timeout,33.77,1.405,4.16,832,35.07,-1073.28
191,2020-11-02,NASDAQ:MEDP,Timeout,125.19,1.405,1.12,224,113.68,-2580.48
192,2020-11-09,NASDAQ:LSCC,Sell,40.43,2.135,3.025,605,0.0,0.0
193,2020-11-09,NASDAQ:MEDP,Buy,117.98,2.135,1.035,207,0.0,0.0
194,2020-11-20,NASDAQ:LSCC,Close,40.43,-0.403,3.025,605,40.11,199.65
195,2020-11-20,NASDAQ:MEDP,Close,117.98,-0.403,1.035,207,126.43,1747.08
196,2020-12-03,NASDAQ:LSCC,Buy,41.7,-2.233,3.165,633,0.0,0.0
197,2020-12-03,NASDAQ:MEDP,Sell,132.88,-2.233,1.0,198,0.0,0.0
198,2020-12-24,NASDAQ:LSCC,Close,41.7,0.123,3.165,633,43.75,1303.98
199,2020-12-24,NASDAQ:MEDP,Close,132.88,0.123,1.0,198,139.14,-1239.48
200,2021-01-04,NASDAQ:LSCC,Sell,45.32,2.636,2.915,583,0.0,0.0
201,2021-01-04,NASDAQ:MEDP,Buy,134.42,2.636,1.0,196,0.0,0.0
202,2021-01-08,NASDAQ:LSCC,Close,45.32,-0.06,2.915,583,44.55,454.74
203,2021-01-08,NASDAQ:MEDP,Close,134.42,-0.06,1.0,196,141.75,1436.68
204,2021-02-08,NASDAQ:LSCC,Buy,44.11,-2.218,3.21,642,0.0,0.0
205,2021-02-08,NASDAQ:MEDP,Sell,153.0,-2.218,1.0,185,0.0,0.0
206,2021-02-16,NASDAQ:LSCC,Close,44.11,0.252,3.21,642,48.62,2901.84
207,2021-02-16,NASDAQ:MEDP,Close,153.0,0.252,1.0,185,163.69,-1977.65
208,2021-03-04,NASDAQ:LSCC,Buy,42.12,-2.871,3.47,694,0.0,0.0
209,2021-03-04,NASDAQ:MEDP,Sell,158.36,-2.871,1.0,184,0.0,0.0
210,2021-03-16,NASDAQ:LSCC,Close,42.12,0.108,3.47,694,46.73,3206.28
211,2021-03-16,NASDAQ:MEDP,Close,158.36,0.108,1.0,184,162.57,-776.48
212,2021-04-05,NASDAQ:LSCC,Sell,50.11,2.136,3.16,632,0.0,0.0
213,2021-04-05,NASDAQ:MEDP,Buy,171.45,2.136,1.0,184,0.0,0.0
214,2021-04-14,NASDAQ:LSCC,Close,50.11,-0.062,3.16,632,49.48,404.48
215,2021-04-14,NASDAQ:MEDP,Close,171.45,-0.062,1.0,184,177.83,1172.08
216,2021-04-16,NASDAQ:LSCC,Sell,57.91,4.1,2.87,574,0.0,0.0
217,2021-04-16,NASDAQ:MEDP,Buy,179.91,4.1,1.0,184,0.0,0.0
218,2021-04-22,NASDAQ:LSCC,Close,57.91,-0.134,2.87,574,53.14,2743.72
219,2021-04-22,NASDAQ:MEDP,Close,179.91,-0.134,1.0,184,187.49,1394.72
220,2021-04-27,NASDAQ:LSCC,Sell,54.03,3.041,3.455,691,0.0,0.0
221,2021-04-27,NASDAQ:MEDP,Buy,166.73,3.041,1.12,224,0.0,0.0
222,2021-05-03,NASDAQ:LSCC,Close,54.03,-0.17,3.455,691,49.1,3413.54
223,2021-05-03,NASDAQ:MEDP,Close,166.73,-0.17,1.12,224,168.03,291.2
224,2021-05-26,NASDAQ:LSCC,Sell,52.7,2.016,3.895,779,0.0,0.0
225,2021-05-26,NASDAQ:MEDP,Buy,165.89,2.016,1.235,247,0.0,0.0
226,2021-06-07,NASDAQ:LSCC,Close,52.7,-0.292,3.895,779,50.8,1472.31
227,2021-06-07,NASDAQ:MEDP,Close,165.89,-0.292,1.235,247,170.87,1227.59
228,2021-06-29,NASDAQ:LSCC,Sell,57.27,2.331,3.82,764,0.0,0.0
229,2021-06-29,NASDAQ:MEDP,Buy,177.56,2.331,1.23,246,0.0,0.0
230,2021-07-07,NASDAQ:LSCC,Close,57.27,-0.024,3.82,764,53.33,3017.8
231,2021-07-07,NASDAQ:MEDP,Close,177.56,-0.024,1.23,246,178.24,167.28
